iter	Passed	Remaining
0	56	55945
1	56	28082
2	56	18791
3	56	14145
4	57	11357
5	57	9499
6	57	8173
7	58	7198
8	58	6442
9	58	5836
10	59	5340
11	59	4923
12	60	4560
13	60	4249
14	60	3979
15	61	3754
16	61	3556
17	61	3380
18	62	3221
19	62	3075
20	63	2952
21	63	2837
22	64	2730
23	64	2631
24	65	2541
25	67	2514
26	67	2428
27	67	2348
28	67	2273
29	68	2204
30	68	2144
31	69	2089
32	69	2038
33	69	1984
34	70	1933
35	70	1887
36	70	1846
37	71	1806
38	71	1769
39	72	1733
40	72	1696
41	73	1666
42	73	1635
43	73	1605
44	74	1577
45	74	1550
46	75	1522
47	75	1494
48	75	1467
49	75	1441
50	76	1416
51	76	1392
52	76	1369
53	76	1347
54	77	1326
55	77	1305
56	77	1285
57	77	1266
58	78	1247
59	78	1229
60	78	1211
61	78	1194
62	79	1178
63	79	1162
64	79	1147
65	80	1132
66	80	1117
67	80	1101
68	80	1087
69	80	1074
70	81	1061
71	81	1049
72	81	1036
73	81	1024
74	82	1013
75	82	1002
76	82	991
77	83	981
78	83	973
79	83	965
80	84	956
81	89	1002
82	89	991
83	89	980
84	90	969
85	90	958
86	90	948
87	90	938
88	90	928
89	91	921
90	91	914
91	92	908
92	92	901
93	92	895
94	93	889
95	93	883
96	94	876
97	94	871
98	95	865
99	95	859
100	95	854
101	96	846
102	96	841
103	97	835
104	97	830
105	97	825
106	98	820
107	98	815
108	99	809
109	99	803
110	99	798
111	100	794
112	100	789
113	101	785
114	103	793
115	103	786
116	103	781
117	103	776
118	104	771
119	104	767
120	105	763
121	106	762
122	106	756
123	106	752
124	106	748
125	107	743
126	107	739
127	107	734
128	108	730
129	108	727
130	109	723
131	109	720
132	112	735
133	113	731
134	113	727
135	114	724
136	114	720
137	114	716
138	115	713
139	115	710
140	116	707
141	116	703
142	116	701
143	117	696
144	117	693
145	118	690
146	118	687
147	118	684
148	120	689
149	120	685
150	121	681
151	121	679
152	122	676
153	122	673
154	123	670
155	123	667
156	123	665
157	124	662
158	124	659
159	125	657
160	125	654
161	126	651
162	126	649
163	126	646
164	127	644
165	127	641
166	128	639
167	128	636
168	128	633
169	129	631
170	129	628
171	130	626
172	130	623
173	130	621
174	131	619
175	131	617
176	132	614
177	132	612
178	133	610
179	133	608
180	133	604
181	134	602
182	134	600
183	134	598
184	135	595
185	135	593
186	136	591
187	138	598
188	139	596
189	139	594
190	139	592
191	140	590
192	140	588
193	140	585
194	141	582
195	141	580
196	141	577
197	141	575
198	142	572
199	142	569
200	142	567
201	142	564
202	143	562
203	143	559
204	143	557
205	143	555
206	144	552
207	144	550
208	144	547
209	148	557
210	148	556
211	149	554
212	149	552
213	150	551
214	150	549
215	150	547
216	151	545
217	151	543
218	152	542
219	152	540
220	152	538
221	153	537
222	153	535
223	154	533
224	154	532
225	154	530
226	155	529
227	155	527
228	156	525
229	156	523
230	156	521
231	156	519
232	157	517
233	157	515
234	157	512
235	157	510
236	158	508
237	158	506
238	158	505
239	159	504
240	159	502
241	160	501
242	160	499
243	160	498
244	161	497
245	162	496
246	162	495
247	162	493
248	163	492
249	163	491
250	164	489
251	164	488
252	165	487
253	165	486
254	166	485
255	166	483
256	166	482
257	167	481
258	167	479
259	168	478
260	168	477
261	168	475
262	169	474
263	169	473
264	170	472
265	170	470
266	171	469
267	171	467
268	171	466
269	172	465
270	172	463
271	172	462
272	173	461
273	173	459
274	173	458
275	175	461
276	176	460
277	176	459
278	177	458
279	177	456
280	178	455
281	178	454
282	179	453
283	179	452
284	179	451
285	180	450
286	180	448
287	181	447
288	181	446
289	181	445
290	182	444
291	182	443
292	183	442
293	183	441
294	184	440
295	184	438
296	184	437
297	185	435
298	185	434
299	185	433
300	185	431
301	186	430
302	186	428
303	186	427
304	186	425
305	187	424
306	187	422
307	187	421
308	187	420
309	188	418
310	188	417
311	188	415
312	188	414
313	189	413
314	189	411
315	189	410
316	189	409
317	190	407
318	190	406
319	190	405
320	190	403
321	191	402
322	191	401
323	191	400
324	192	399
325	192	398
326	193	397
327	194	398
328	194	397
329	195	396
330	195	395
331	196	394
332	197	394
333	197	394
334	198	393
335	198	392
336	198	391
337	199	390
338	199	389
339	200	389
340	201	388
341	201	387
342	201	386
343	202	385
344	202	384
345	203	383
346	203	382
347	203	381
348	204	380
349	204	379
350	205	379
351	205	378
352	205	377
353	205	375
354	206	374
355	206	373
356	206	372
357	206	371
358	207	370
359	207	368
360	207	367
361	207	366
362	208	365
363	208	364
364	208	363
365	209	362
366	209	361
367	209	360
368	210	359
369	210	358
370	211	357
371	211	356
372	211	355
373	211	354
374	212	353
375	212	352
376	212	351
377	213	350
378	213	349
379	213	349
380	214	348
381	214	347
382	215	346
383	215	346
384	216	345
385	216	344
386	216	343
387	216	342
388	217	340
389	217	339
390	217	338
391	217	337
392	218	336
393	218	335
394	218	334
395	218	333
396	219	332
397	219	331
398	219	330
399	219	329
400	220	328
401	220	327
402	220	326
403	220	325
404	221	324
405	221	323
406	221	322
407	221	321
408	222	320
409	222	319
410	222	318
411	222	317
412	223	316
413	223	316
414	223	315
415	223	314
416	223	313
417	224	312
418	224	311
419	224	310
420	224	309
421	225	308
422	225	307
423	225	306
424	225	305
425	226	304
426	226	303
427	226	302
428	226	301
429	226	300
430	227	299
431	227	298
432	227	298
433	227	297
434	228	296
435	228	295
436	228	294
437	228	293
438	229	292
439	229	291
440	229	290
441	229	290
442	229	289
443	230	288
444	230	287
